Enzyme NextGen-A,,,,,,,,,,,,,,,,,,,,,Enzyme NextGen-B,,,,,,,,,,,,,,,,,,,,Enzyme NextGen-C,,,,,,,,,,,,,,,,,,,,Enzyme NextGen-D,,,,,,,,,,,,,,,,,,,,Enzyme NextGen-E,,,,,,,,,,,,,,,,,,,
,Test 1,,,,,,,,,,Test 1 duplicate,,,,,,,,,,Test 1,,,,,,,,,,Test 1 duplicate,,,,,,,,,,Test 1,,,,,,,,,,Test 1 duplicate,,,,,,,,,,Test 1,,,,,,,,,,Test 1 duplicate,,,,,,,,,,Test 1,,,,,,,,,,Test 1 duplicate,,,,,,,,,
4963,,,,,,,,499.832,985.331,1791.575,,,,,,,,499.644,985.604,1790.451,,,,,,,,497.305,969.26,1681.337,,,,,,,,497.454,968.777,1681.792,,,,,,,,,994.786,1884.958,,,,,,,,,995.261,1884.197,,,,,,,,,998.519,1946.024,,,,,,,,,998.292,1945.994,,,,,,,,,999.438,1961.184,,,,,,,,,999.131,1961.303
4964,,,,,,,,499.746,985.085,1791.665,,,,,,,,499.807,985.246,1791.621,,,,,,,,497.335,969.339,1680.874,,,,,,,,497.157,969.023,1681.44,,,,,,,,,994.695,1884.358,,,,,,,,,995.068,1885.557,,,,,,,,,998.538,1945.587,,,,,,,,,998.129,1944.595,,,,,,,,,999.383,1960.489,,,,,,,,,999.442,1961.579
4965,,,,,,,,499.786,985.408,1791.289,,,,,,,,499.684,985.066,1790.762,,,,,,,,497.332,968.789,1681.443,,,,,,,,497.088,968.982,1681.143,,,,,,,,,995.228,1884.842,,,,,,,,,994.751,1884.698,,,,,,,,,998.431,1944.868,,,,,,,,,998.641,1944.646,,,,,,,,,999.358,1961.304,,,,,,,,,999.232,1961.702
4966,,,,,,,,499.63,985.529,1790.772,,,,,,,,499.607,985.033,1791.884,,,,,,,,497.122,969.163,1680.944,,,,,,,,497.24,968.816,1680.89,,,,,,,,,994.736,1884.634,,,,,,,,,995.101,1884.563,,,,,,,,,998.582,1944.87,,,,,,,,,998.752,1946.147,,,,,,,,,999.63,1960.405,,,,,,,,,999.254,1960.665
4967,,,,,,,,499.683,985.28,1791.384,,,,,,,,499.664,985.131,1791.135,,,,,,,,497.096,969.186,1681.419,,,,,,,,497.478,968.991,1681.447,,,,,,,,,995.269,1885.664,,,,,,,,,995.032,1885.517,,,,,,,,,998.374,1945.813,,,,,,,,,998.214,1945.152,,,,,,,,,999.343,1961.386,,,,,,,,,999.374,1960.583
4968,,,,,,,,499.924,985.33,1791.699,,,,,,,,499.699,985.15,1791.551,,,,,,,,497.344,969.237,1682.339,,,,,,,,497.097,969.258,1681.554,,,,,,,,,995.131,1884.898,,,,,,,,,994.962,1885.668,,,,,,,,,998.422,1945.746,,,,,,,,,998.645,1945.279,,,,,,,,,999.534,1960.913,,,,,,,,,999.355,1961.809
4969,,,,,,,,499.647,985.7,1791.838,,,,,,,,499.617,985.442,1792.094,,,,,,,,497.456,968.811,1682.218,,,,,,,,497.16,969.323,1681.272,,,,,,,,,995.306,1885.471,,,,,,,,,994.941,1885.868,,,,,,,,,998.489,1945.657,,,,,,,,,998.174,1944.965,,,,,,,,,999.745,1961.269,,,,,,,,,999.311,1960.946
4970,,,,,,,,499.546,985.665,1791.369,,,,,,,,499.756,985.205,1791.029,,,,,,,,497.432,969.23,1681.695,,,,,,,,497.255,969.046,1682.148,,,,,,,,,995.417,1885.533,,,,,,,,,994.947,1884.585,,,,,,,,,998.056,1945.659,,,,,,,,,998.161,1945.613,,,,,,,,,999.368,1961.098,,,,,,,,,999.445,1961.162
4971,,,,,,,,499.719,985.388,1791.552,,,,,,,,499.847,985.221,1791.756,,,,,,,,497.187,969.25,1681.801,,,,,,,,497.357,969.276,1682.25,,,,,,,,,994.897,1885.362,,,,,,,,,995.144,1884.594,,,,,,,,,998.227,1945.571,,,,,,,,,998.076,1945.166,,,,,,,,,999.191,1961.033,,,,,,,,,999.134,1960.434
4972,,,,,,,,499.599,985.775,1791.133,,,,,,,,499.544,985.488,1791.455,,,,,,,,497.34,969.58,1682.233,,,,,,,,497.463,969.588,1682.027,,,,,,,,,995.381,1885.088,,,,,,,,,994.943,1885.441,,,,,,,,,998.626,1944.902,,,,,,,,,998.238,1945.544,,,,,,,,,999.411,1960.794,,,,,,,,,999.325,1960.806
4973,,,,,,,,499.541,985.507,1791.307,,,,,,,,499.703,985.46,1791.604,,,,,,,,497.455,969.538,1681.87,,,,,,,,497.456,968.951,1681.965,,,,,,,,,994.73,1885.812,,,,,,,,,994.724,1885.866,,,,,,,,,998.133,1945.982,,,,,,,,,998.309,1946.093,,,,,,,,,999.569,1961.529,,,,,,,,,999.438,1961.111
4974,,,,,,,,499.596,985.232,1792.039,,,,,,,,499.806,985.296,1791.701,,,,,,,,497.104,968.918,1681.921,,,,,,,,497.282,969.635,1682.167,,,,,,,,,995.364,1885.83,,,,,,,,,995.05,1884.864,,,,,,,,,998.428,1945.112,,,,,,,,,998.051,1945.73,,,,,,,,,999.16,1961.861,,,,,,,,,999.654,1961.748
4975,,,,,,,,499.795,985.652,1791.659,,,,,,,,499.72,985.556,1792.15,,,,,,,,497.133,969.47,1683.15,,,,,,,,497.483,968.933,1682.197,,,,,,,,,995.288,1885.084,,,,,,,,,994.921,1885.833,,,,,,,,,998.532,1945.852,,,,,,,,,998.131,1945.895,,,,,,,,,999.034,1960.805,,,,,,,,,999.391,1961.094
4976,,,,,,,,499.608,985.556,1792.149,,,,,,,,499.752,985.488,1792.759,,,,,,,,497.404,969.439,1682.193,,,,,,,,497.317,968.995,1683.231,,,,,,,,,995.14,1884.885,,,,,,,,,995.04,1885.676,,,,,,,,,998.582,1945.78,,,,,,,,,998.498,1945.29,,,,,,,,,999.422,1961.794,,,,,,,,,999.62,1961.624
4977,,,,,,,,499.728,985.475,1791.823,,,,,,,,499.609,985.577,1792.364,,,,,,,,497.352,969.527,1682.219,,,,,,,,497.166,968.967,1683.289,,,,,,,,,995.089,1885.988,,,,,,,,,995.406,1885.052,,,,,,,,,998.302,1946.039,,,,,,,,,998.485,1946.48,,,,,,,,,999.681,1961.525,,,,,,,,,999.541,1961.709
4978,,,,,,,,499.724,985.358,1791.852,,,,,,,,499.781,985.203,1792.532,,,,,,,,497.131,969.571,1682.682,,,,,,,,497.208,969.12,1682.357,,,,,,,,,994.894,1885.649,,,,,,,,,995.356,1885.297,,,,,,,,,998.853,1946.557,,,,,,,,,998.488,1945.178,,,,,,,,,999.525,1960.808,,,,,,,,,999.044,1961.459
4979,,,,,,,,499.742,985.787,1792.394,,,,,,,,499.899,985.614,1792.808,,,,,,,,497.499,968.997,1682.736,,,,,,,,497.33,969.32,1683.331,,,,,,,,,995.394,1885.73,,,,,,,,,995.295,1885.227,,,,,,,,,998.532,1946.013,,,,,,,,,998.183,1946.148,,,,,,,,,999.461,1961.774,,,,,,,,,999.25,1961.605
4980,,,,,,,,499.821,985.167,1792.075,,,,,,,,499.686,985.45,1793.027,,,,,,,,497.493,969.328,1683.134,,,,,,,,497.13,969.762,1683.105,,,,,,,,,995.463,1885.394,,,,,,,,,995.422,1886.347,,,,,,,,,998.134,1945.306,,,,,,,,,998.345,1945.316,,,,,,,,,999.117,1961.604,,,,,,,,,999.593,1961.828
4981,,,,,,,,499.704,985.554,1792.922,,,,,,,,499.85,985.306,1792.969,,,,,,,,497.129,969.075,1683.162,,,,,,,,497.152,969.67,1682.761,,,,,,,,,995.19,1885.976,,,,,,,,,994.991,1886.16,,,,,,,,,998.78,1945.292,,,,,,,,,998.276,1945.898,,,,,,,,,999.377,1961.991,,,,,,,,,999.468,1961.705
4982,,,,,,,,499.793,985.383,1793.127,,,,,,,,499.62,985.659,1792.113,,,,,,,,497.209,969.411,1683.012,,,,,,,,497.513,969.414,1683.765,,,,,,,,,995.155,1885.861,,,,,,,,,995.124,1886.292,,,,,,,,,998.499,1946.683,,,,,,,,,998.519,1945.705,,,,,,,,,998.999,1961.134,,,,,,,,,999.773,1961.08
4983,,,,,,,,499.685,985.77,1792.954,,,,,,,,499.664,985.272,1793.317,,,,,,,,497.301,969.521,1683.973,,,,,,,,497.14,969.16,1683.045,,,,,,,,,995.081,1885.383,,,,,,,,,995.476,1885.527,,,,,,,,,998.615,1945.73,,,,,,,,,998.687,1945.262,,,,,,,,,999.787,1961.555,,,,,,,,,999.459,1960.971
4984,,,,,,,,499.917,985.247,1792.801,,,,,,,,499.676,985.185,1792.745,,,,,,,,497.162,969.766,1683.637,,,,,,,,497.295,969.184,1683.679,,,,,,,,,995.463,1885.804,,,,,,,,,995.458,1885.987,,,,,,,,,998.795,1946.113,,,,,,,,,998.684,1946.661,,,,,,,,,999.378,1961.519,,,,,,,,,999.405,1960.886
4985,,,,,,,,499.642,985.72,1792.574,,,,,,,,499.918,985.847,1793.42,,,,,,,,497.173,969.738,1684.115,,,,,,,,497.381,969.634,1684.266,,,,,,,,,995.132,1886.25,,,,,,,,,994.799,1886.113,,,,,,,,,998.647,1945.373,,,,,,,,,998.496,1945.923,,,,,,,,,999.203,1962.212,,,,,,,,,999.411,1962.259
4986,,,,,,,,499.703,985.527,1792.681,,,,,,,,499.719,985.545,1793.292,,,,,,,,497.235,969.843,1684.095,,,,,,,,497.511,969.223,1684.445,,,,,,,,,995.55,1886.201,,,,,,,,,995.08,1886.12,,,,,,,,,998.547,1946.685,,,,,,,,,998.549,1946.802,,,,,,,,,999.111,1962.185,,,,,,,,,999.603,1962.418
4987,,,,,,,,499.584,985.306,1793.391,,,,,,,,499.552,985.804,1792.892,,,,,,,,497.276,969.429,1683.96,,,,,,,,497.459,969.817,1683.488,,,,,,,,,995.555,1885.649,,,,,,,,,994.859,1885.714,,,,,,,,,998.67,1945.96,,,,,,,,,998.079,1946.189,,,,,,,,,999.269,1962.16,,,,,,,,,999.518,1961.6
4988,,,,,,,,499.832,985.651,1793.27,,,,,,,,499.628,985.661,1793.912,,,,,,,,497.322,969.284,1683.651,,,,,,,,497.372,969.622,1684.389,,,,,,,,,995.242,1885.91,,,,,,,,,995.348,1886.372,,,,,,,,,998.305,1946.716,,,,,,,,,998.72,1946.912,,,,,,,,,999.148,1961.177,,,,,,,,,999.592,1961.738
4989,,,,,,,,499.714,985.285,1792.669,,,,,,,,499.566,985.394,1792.728,,,,,,,,497.23,969.469,1684.403,,,,,,,,497.494,969.282,1684.025,,,,,,,,,994.833,1886.077,,,,,,,,,995.324,1886.308,,,,,,,,,998.525,1945.999,,,,,,,,,998.524,1946.293,,,,,,,,,999.675,1962.311,,,,,,,,,999.465,1961.475
4990,,,,,,,,499.847,985.379,1794.138,,,,,,,,499.721,985.813,1793.035,,,,,,,,497.401,969.737,1684.989,,,,,,,,497.525,969.224,1684.727,,,,,,,,,995.57,1886.018,,,,,,,,,995.173,1886.782,,,,,,,,,998.298,1945.608,,,,,,,,,998.438,1946.687,,,,,,,,,999.274,1961.888,,,,,,,,,999.794,1961.644
4991,,,,,,,,499.848,985.256,1793.175,,,,,,,,499.73,985.954,1794.041,,,,,,,,497.347,969.87,1683.97,,,,,,,,497.422,969.986,1683.971,,,,,,,,,994.919,1885.933,,,,,,,,,995.083,1885.931,,,,,,,,,998.25,1945.718,,,,,,,,,998.536,1945.829,,,,,,,,,999.761,1962.297,,,,,,,,,999.709,1961.665
4992,,,,,,,,499.836,985.886,1793.784,,,,,,,,499.72,985.602,1793.128,,,,,,,,497.552,969.637,1684.269,,,,,,,,497.195,969.475,1685.156,,,,,,,,,995.32,1887.191,,,,,,,,,995.077,1887.206,,,,,,,,,998.303,1945.786,,,,,,,,,998.3,1946.365,,,,,,,,,999.137,1962.416,,,,,,,,,999.293,1961.517
4993,,,,,,,,499.896,985.315,1794.357,,,,,,,,499.67,985.926,1793.94,,,,,,,,497.296,969.866,1685.23,,,,,,,,497.488,969.629,1684.052,,,,,,,,,994.871,1887.102,,,,,,,,,995.614,1886.607,,,,,,,,,998.236,1946.57,,,,,,,,,998.234,1945.68,,,,,,,,,999.027,1962.317,,,,,,,,,999.509,1962.129
4994,,,,,,,,499.756,985.43,1794.457,,,,,,,,499.828,985.371,1794.176,,,,,,,,497.276,969.722,1684.373,,,,,,,,497.288,969.865,1685.438,,,,,,,,,995.471,1886.908,,,,,,,,,994.93,1887.335,,,,,,,,,998.874,1947.121,,,,,,,,,998.488,1947.131,,,,,,,,,999.382,1962.604,,,,,,,,,999.694,1961.81
4995,,,,,,,,499.595,985.89,1794.025,,,,,,,,499.557,985.286,1794.028,,,,,,,,497.449,970.001,1685.3,,,,,,,,497.236,969.762,1685.444,,,,,,,,,995.471,1887.489,,,,,,,,,995.389,1887.43,,,,,,,,,998.303,1946.014,,,,,,,,,998.443,1946.182,,,,,,,,,999.461,1961.812,,,,,,,,,999.272,1961.338
4996,,,,,,,,499.823,985.859,1793.331,,,,,,,,499.596,985.759,1794.353,,,,,,,,497.227,969.444,1685.154,,,,,,,,497.376,969.622,1685.195,,,,,,,,,995.072,1887.601,,,,,,,,,995.447,1887.257,,,,,,,,,998.132,1946.802,,,,,,,,,998.606,1946.299,,,,,,,,,999.352,1961.617,,,,,,,,,999.751,1961.93
4997,,,,,,,,499.594,985.808,1793.714,,,,,,,,499.592,985.944,1793.765,,,,,,,,497.255,969.875,1685.836,,,,,,,,497.509,969.353,1685.078,,,,,,,,,994.961,1887.646,,,,,,,,,995.546,1887.594,,,,,,,,,998.723,1946.98,,,,,,,,,998.531,1946.026,,,,,,,,,999.277,1961.322,,,,,,,,,999.462,1961.199
4998,,,,,,,,499.636,985.477,1793.557,,,,,,,,499.614,985.343,1794.907,,,,,,,,497.288,969.707,1684.665,,,,,,,,497.266,969.425,1685.839,,,,,,,,,995.192,1887.786,,,,,,,,,994.86,1887.774,,,,,,,,,998.106,1946.675,,,,,,,,,998.173,1946.382,,,,,,,,,999.232,1962.23,,,,,,,,,999.498,1961.501
4999,,,,,,,,499.901,985.599,1793.745,,,,,,,,499.685,985.998,1793.741,,,,,,,,497.18,969.606,1685.92,,,,,,,,497.331,970.083,1685.23,,,,,,,,,995.624,1886.729,,,,,,,,,995.375,1886.743,,,,,,,,,998.266,1947.33,,,,,,,,,998.342,1945.904,,,,,,,,,999.626,1961.668,,,,,,,,,999.777,1961.926
5000,,,,,,,,499.666,985.787,1794.26,,,,,,,,499.888,985.875,1794.931,,,,,,,,497.383,969.842,1685.157,,,,,,,,497.219,970.154,1685.192,,,,,,,,,995.311,1887.447,,,,,,,,,995.627,1886.844,,,,,,,,,998.635,1947.245,,,,,,,,,998.239,1947.174,,,,,,,,,999.09,1961.59,,,,,,,,,999.497,1961.411
5001,,,,,,,,499.77,985.635,1794.763,,,,,,,,499.932,985.653,1794.574,,,,,,,,497.393,969.87,1685.587,,,,,,,,497.313,969.731,1686.24,,,,,,,,,995.621,1887.352,,,,,,,,,994.893,1887.772,,,,,,,,,998.682,1945.967,,,,,,,,,998.572,1946.408,,,,,,,,,999.535,1962.222,,,,,,,,,999.397,1962.185
5002,,,,,,,,499.935,985.533,1794.821,,,,,,,,499.691,985.649,1794.924,,,,,,,,497.271,970.09,1686.152,,,,,,,,497.46,969.928,1686.291,,,,,,,,,995.571,1886.554,,,,,,,,,994.93,1887.159,,,,,,,,,998.66,1946.408,,,,,,,,,998.136,1947.094,,,,,,,,,999.575,1962.781,,,,,,,,,999.187,1961.683
5003,,,,,,,,499.693,986.074,1795.318,,,,,,,,499.787,985.649,1794.297,,,,,,,,497.449,969.899,1686.51,,,,,,,,497.478,970.238,1686.249,,,,,,,,,995.442,1887.17,,,,,,,,,995.457,1887.519,,,,,,,,,998.881,1947.322,,,,,,,,,998.877,1947.107,,,,,,,,,999.174,1961.472,,,,,,,,,999.409,1962.689
5004,,,,,,,,499.695,985.746,1795.246,,,,,,,,499.626,985.939,1794.752,,,,,,,,497.494,969.708,1685.615,,,,,,,,497.239,969.568,1685.535,,,,,,,,,995.093,1887.262,,,,,,,,,995.277,1886.746,,,,,,,,,998.145,1947.429,,,,,,,,,998.51,1947.512,,,,,,,,,999.33,1962.681,,,,,,,,,999.381,1961.583
5005,,,,,,,,499.938,985.85,1794.843,,,,,,,,499.818,985.534,1795.544,,,,,,,,497.546,969.568,1686.006,,,,,,,,497.225,970.095,1686.706,,,,,,,,,995.532,1887.126,,,,,,,,,995.613,1887.863,,,,,,,,,998.221,1946.767,,,,,,,,,998.313,1946.284,,,,,,,,,999.522,1962.653,,,,,,,,,999.622,1961.675
5006,,,,,,,,499.791,985.49,1794.573,,,,,,,,499.719,986.071,1795.007,,,,,,,,497.242,969.721,1686.369,,,,,,,,497.474,969.591,1686.727,,,,,,,,,995.541,1886.887,,,,,,,,,995.328,1887.478,,,,,,,,,998.27,1947.078,,,,,,,,,998.654,1947.214,,,,,,,,,999.666,1962.469,,,,,,,,,999.553,1962.979
5007,,,,,,,,499.658,985.738,1795.346,,,,,,,,499.559,985.565,1795.131,,,,,,,,497.564,969.91,1686.336,,,,,,,,497.317,970.15,1686.83,,,,,,,,,995.075,1887.639,,,,,,,,,995.657,1887.747,,,,,,,,,998.572,1946.818,,,,,,,,,998.245,1947.048,,,,,,,,,999.239,1961.701,,,,,,,,,999.481,1961.885
5008,,,,,,,,499.585,985.663,1795.427,,,,,,,,499.678,985.834,1795.663,,,,,,,,497.464,970.098,1686.078,,,,,,,,497.539,969.938,1686.978,,,,,,,,,995.069,1886.999,,,,,,,,,995.508,1887.797,,,,,,,,,998.135,1946.772,,,,,,,,,998.452,1946.915,,,,,,,,,999.474,1962.236,,,,,,,,,999.48,1962.545
5009,,,,,,,,499.561,986.076,1795.504,,,,,,,,499.675,985.821,1795.553,,,,,,,,497.55,970.245,1686.787,,,,,,,,497.562,970.184,1686.736,,,,,,,,,995.305,1888.181,,,,,,,,,995.579,1887.994,,,,,,,,,998.65,1947.529,,,,,,,,,998.403,1947.812,,,,,,,,,999.219,1962.06,,,,,,,,,999.287,1961.97
5010,,,,,,,,499.649,985.931,1795.663,,,,,,,,499.673,985.559,1795.207,,,,,,,,497.45,969.991,1687.072,,,,,,,,497.351,969.71,1687.266,,,,,,,,,995.31,1887.714,,,,,,,,,995.257,1887.933,,,,,,,,,998.707,1946.921,,,,,,,,,998.643,1946.341,,,,,,,,,999.145,1962.403,,,,,,,,,999.264,1961.693
5011,,,,,,,,499.666,985.845,1795.008,,,,,,,,499.8,986.017,1795.854,,,,,,,,497.379,970.018,1686.971,,,,,,,,497.438,969.785,1686.144,,,,,,,,,995.352,1888.495,,,,,,,,,995.62,1887.176,,,,,,,,,998.545,1947.454,,,,,,,,,998.484,1947.041,,,,,,,,,999.28,1962.655,,,,,,,,,999.355,1961.747
5012,,,,,,,,499.685,986.115,1794.971,,,,,,,,499.696,985.926,1794.981,,,,,,,,497.246,969.746,1686.893,,,,,,,,497.225,970.076,1687.432,,,,,,,,,995.212,1887.395,,,,,,,,,995.461,1888.505,,,,,,,,,998.426,1946.449,,,,,,,,,998.822,1946.68,,,,,,,,,999.087,1961.739,,,,,,,,,999.742,1961.841
5013,,,,,,,,499.667,985.789,1795.392,,,,,,,,499.846,986.1,1795.952,,,,,,,,497.328,970.2,1686.541,,,,,,,,497.495,970.323,1686.662,,,,,,,,,995.263,1887.718,,,,,,,,,994.999,1887.692,,,,,,,,,998.738,1947.516,,,,,,,,,998.342,1947.353,,,,,,,,,999.62,1962.172,,,,,,,,,999.427,1962.005
5014,,,,,,,,499.652,986.128,1796.133,,,,,,,,499.805,985.722,1795.696,,,,,,,,497.354,969.9,1686.507,,,,,,,,497.245,969.881,1686.666,,,,,,,,,995.64,1887.909,,,,,,,,,995.162,1887.902,,,,,,,,,998.501,1946.943,,,,,,,,,998.222,1946.93,,,,,,,,,999.599,1963.117,,,,,,,,,999.083,1962.934
5015,,,,,,,,499.604,985.929,1795.381,,,,,,,,499.838,985.605,1795.826,,,,,,,,497.611,969.974,1686.75,,,,,,,,497.441,970.043,1687.054,,,,,,,,,995.416,1888.408,,,,,,,,,994.966,1888.272,,,,,,,,,998.554,1947.325,,,,,,,,,998.193,1946.952,,,,,,,,,999.607,1962.328,,,,,,,,,999.078,1962.394
5016,,,,,,,,499.842,985.913,1795.62,,,,,,,,499.782,986.018,1795.374,,,,,,,,497.417,970.04,1687.297,,,,,,,,497.536,970.42,1687.218,,,,,,,,,995.047,1887.844,,,,,,,,,995.547,1888.319,,,,,,,,,998.251,1947.87,,,,,,,,,998.684,1946.54,,,,,,,,,999.673,1962.473,,,,,,,,,999.106,1962.794
5017,,,,,,,,499.831,985.893,1796.568,,,,,,,,499.61,985.801,1795.538,,,,,,,,497.296,970.353,1688.083,,,,,,,,497.316,970.465,1688.145,,,,,,,,,995.38,1888.066,,,,,,,,,995.034,1888.915,,,,,,,,,998.229,1947.021,,,,,,,,,998.427,1947.909,,,,,,,,,999.208,1962.95,,,,,,,,,999.159,1963.219
5018,,,,,,,,499.622,985.86,1796.147,,,,,,,,499.57,985.809,1796.62,,,,,,,,497.259,970.369,1687.389,,,,,,,,497.272,970.282,1687.442,,,,,,,,,995.494,1888.311,,,,,,,,,995.189,1887.94,,,,,,,,,998.149,1946.697,,,,,,,,,998.497,1947.033,,,,,,,,,999.107,1962.624,,,,,,,,,999.709,1962.511
5019,,,,,,,,499.578,986.284,1795.576,,,,,,,,499.635,985.943,1796.551,,,,,,,,497.566,970.158,1687.706,,,,,,,,497.431,970.016,1688.339,,,,,,,,,995.672,1888.03,,,,,,,,,995.705,1888.737,,,,,,,,,998.405,1947.474,,,,,,,,,998.339,1947.728,,,,,,,,,999.198,1963.136,,,,,,,,,999.779,1963.07
5020,,,,,,,,499.885,986.129,1796.413,,,,,,,,499.936,986.001,1796.315,,,,,,,,497.315,970.538,1687.255,,,,,,,,497.39,969.985,1688.057,,,,,,,,,995.718,1888.073,,,,,,,,,995.1,1888.096,,,,,,,,,998.295,1947.423,,,,,,,,,998.408,1947.44,,,,,,,,,999.557,1963.005,,,,,,,,,999.538,1962.726
5021,,,,,,,,499.714,985.707,1795.733,,,,,,,,499.56,986.157,1796.933,,,,,,,,497.25,969.946,1688.211,,,,,,,,497.309,970.042,1688.562,,,,,,,,,995.627,1888.376,,,,,,,,,995.005,1888.244,,,,,,,,,998.798,1948.263,,,,,,,,,998.31,1948.133,,,,,,,,,999.613,1962.839,,,,,,,,,999.512,1962.095
5022,,,,,,,,499.855,985.86,1796.159,,,,,,,,499.768,986.342,1796.216,,,,,,,,497.268,970.558,1688.194,,,,,,,,497.442,970.166,1687.728,,,,,,,,,995.286,1887.978,,,,,,,,,995.668,1888.64,,,,,,,,,998.586,1947.866,,,,,,,,,998.707,1948.202,,,,,,,,,999.44,1962.598,,,,,,,,,999.735,1963.455
5023,,,,,,,,499.739,985.724,1797.194,,,,,,,,499.726,985.797,1796.888,,,,,,,,497.355,970.258,1687.923,,,,,,,,497.571,970.38,1687.847,,,,,,,,,995.445,1888.431,,,,,,,,,995.121,1888.895,,,,,,,,,998.916,1948.196,,,,,,,,,998.845,1947.849,,,,,,,,,999.455,1962.223,,,,,,,,,999.493,1962.068
5024,,,,,,,,499.84,986.217,1797.114,,,,,,,,499.616,986.168,1796.387,,,,,,,,497.462,970.032,1687.731,,,,,,,,497.561,970.662,1688.091,,,,,,,,,995.321,1889.262,,,,,,,,,995.159,1888.851,,,,,,,,,998.42,1948.374,,,,,,,,,998.417,1947.415,,,,,,,,,999.189,1962.751,,,,,,,,,999.253,1962.31
5025,,,,,,,,499.748,985.683,1797.232,,,,,,,,499.937,986.138,1796.18,,,,,,,,497.508,970.277,1688.637,,,,,,,,497.415,970.639,1688.321,,,,,,,,,995.656,1889.27,,,,,,,,,995.763,1889.341,,,,,,,,,998.753,1947.891,,,,,,,,,998.703,1948.386,,,,,,,,,999.589,1962.379,,,,,,,,,999.135,1962.153
5026,,,,,,,,499.77,986.237,1796.117,,,,,,,,499.956,986.125,1797.404,,,,,,,,497.597,970.667,1688.168,,,,,,,,497.597,970.087,1687.895,,,,,,,,,995.376,1888.101,,,,,,,,,995.409,1888.493,,,,,,,,,998.265,1948.069,,,,,,,,,998.572,1948.101,,,,,,,,,999.524,1963.148,,,,,,,,,999.231,1962.249
5027,,,,,,,,499.867,985.872,1796.481,,,,,,,,499.664,985.868,1796.616,,,,,,,,497.631,970.7,1688.283,,,,,,,,497.28,970.113,1688.039,,,,,,,,,995.236,1888.319,,,,,,,,,995.009,1889.107,,,,,,,,,998.943,1947.541,,,,,,,,,998.655,1947.297,,,,,,,,,999.65,1962.53,,,,,,,,,999.298,1962.686
5028,,,,,,,,499.924,986.254,1796.693,,,,,,,,499.822,985.78,1796.378,,,,,,,,497.311,970.282,1688.612,,,,,,,,497.306,970.28,1688.591,,,,,,,,,995.606,1889.607,,,,,,,,,995.38,1888.516,,,,,,,,,998.665,1947.009,,,,,,,,,998.512,1947.73,,,,,,,,,999.151,1962.49,,,,,,,,,999.5,1963.019
5029,,,,,,,,499.842,986.102,1796.831,,,,,,,,499.574,985.807,1797.755,,,,,,,,497.517,970.258,1688.491,,,,,,,,497.589,970.724,1688.752,,,,,,,,,995.412,1889.286,,,,,,,,,995.754,1889.75,,,,,,,,,998.774,1948.268,,,,,,,,,998.652,1947.571,,,,,,,,,999.158,1962.829,,,,,,,,,999.574,1963.253
5030,,,,,,,,499.79,986.285,1797.845,,,,,,,,499.829,985.89,1797.229,,,,,,,,497.552,970.779,1689.622,,,,,,,,497.65,970.595,1689.269,,,,,,,,,995.26,1888.843,,,,,,,,,995.011,1888.419,,,,,,,,,998.789,1947.208,,,,,,,,,998.725,1948.408,,,,,,,,,999.269,1962.991,,,,,,,,,999.269,1963.65
5031,,,,,,,,499.6,985.87,1797.888,,,,,,,,499.817,986.005,1797.324,,,,,,,,497.449,970.783,1689.517,,,,,,,,497.395,970.518,1688.982,,,,,,,,,995.103,1888.927,,,,,,,,,995.3,1889.205,,,,,,,,,998.909,1947.303,,,,,,,,,998.652,1947.164,,,,,,,,,999.809,1962.495,,,,,,,,,999.124,1963.519
5032,,,,,,,,499.731,985.942,1796.813,,,,,,,,499.663,986.053,1797.506,,,,,,,,497.376,970.265,1689.359,,,,,,,,497.275,970.363,1688.899,,,,,,,,,995.387,1889.899,,,,,,,,,995.393,1889.618,,,,,,,,,998.319,1948.536,,,,,,,,,998.525,1948.366,,,,,,,,,999.323,1963.02,,,,,,,,,999.241,1963.498
5033,,,,,,,,499.872,986.207,1797.031,,,,,,,,499.694,985.992,1796.942,,,,,,,,497.619,970.622,1689.892,,,,,,,,497.302,970.4,1689.102,,,,,,,,,995.529,1889.83,,,,,,,,,995.339,1889.858,,,,,,,,,998.354,1947.288,,,,,,,,,998.773,1947.349,,,,,,,,,999.748,1962.33,,,,,,,,,999.156,1962.742
5034,,,,,,,,499.694,986.016,1798.06,,,,,,,,499.658,986.219,1798.271,,,,,,,,497.523,970.562,1689.443,,,,,,,,497.329,970.61,1688.829,,,,,,,,,995.816,1889.864,,,,,,,,,995.442,1889.703,,,,,,,,,998.2,1948.184,,,,,,,,,998.215,1948.589,,,,,,,,,999.574,1963.27,,,,,,,,,999.378,1963.482
5035,,,,,,,,499.924,985.957,1798.183,,,,,,,,499.727,985.91,1797.064,,,,,,,,497.334,970.435,1689.406,,,,,,,,497.563,970.151,1690.019,,,,,,,,,995.47,1888.755,,,,,,,,,995.064,1889.585,,,,,,,,,998.46,1948.312,,,,,,,,,998.617,1947.734,,,,,,,,,999.702,1962.903,,,,,,,,,999.073,1962.435
